site_id,site_name,siteCode,shef_id,gauge,latitude,longitude,ycoord,xcoord,readingdate,8:30 PM,8:45 PM,9:00 PM,9:15 PM,9:30 PM,9:45 PM,10:00 PM,10:15 PM,10:30 PM,10:45 PM,11:00 PM,11:15 PM,11:30 PM,11:45 PM,12:00 AM,6:00 AM,9:00 AM
6501,Irwin Creek @ WWTP, 02146300,IRWN7,Stage,35.1977778,-80.9044444,532365.1638,1431099.458,2018-09-16T18:25:00Z,11.44,11.44,11.44,9.76,9.76,9.76,9.76,7.58,7.58,7.58,7.58,6.43,6.43,6.43,6.43,2.62,2.62
6502,Little Sugar @ Archdale Drive, 02146507,LSAN7,Stage,35.1480556,-80.8577778,514008.1779,1444699.542,2018-09-16T18:55:00Z,10.36,10.36,10.36,9.33,9.33,9.33,9.33,8.17,8.17,8.17,8.17,6.94,6.94,6.94,6.94,3.98,3.53
6503,McAlpine @ Sardis, 02146600,MALN7,Stage,35.1377778,-80.7675,509775.5341,1471614.575,2018-09-16T19:25:00Z,16.7,16.63,16.37,16.2,16.03,16.03,15.55,15.35,15.11,14.9,14.56,14.3,13.99,13.67,13.48,3.42,2.47
6504,Briar Creek @ Colony Road, 0214645022,BCLN7,Stage,35.1752778,-80.8308333,523764.1466,1452935.198,2018-09-16T18:55:00Z,10.71,10.71,10.71,9.75,9.75,9.75,9.75,8.44,8.44,8.44,8.44,6.88,6.88,6.88,6.88,3.79,3.31
6505,McAlpine @ WWTP, 02146750,MCPN7,Stage,35.0666667,-80.87,484461.4489,1440488.743,2018-09-16T18:55:00Z,18.32,18.32,18.32,18.6,18.6,18.6,18.6,18.64,18.64,18.64,18.64,18.56,18.56,18.56,18.56,16.52,14.81
6506,Long Creek @ Paw Creek, 02142900,,Stage,35.3286111,-80.9097222,580003.0393,1430439.025,2018-09-16T19:15:00Z,10.01,9.99,9.99,9.92,9.78,9.78,9.69,9.58,9.58,9.58,9.58,9.58,9.58,6.28,6.28,2.29,2.09
6507,Sugar Creek @ NC51 Pineville, 02146381,PNVN7,Stage,35.0908333,-80.8994444,493422.2345,1431848.208,2018-09-16T18:55:00Z,14.84,14.84,14.84,15.25,15.25,15.25,15.25,15.45,15.45,15.45,15.45,15.56,15.56,15.56,15.56,14.24,11.21
6508,Paw Creek @ Wilkinson Blvd, 0214295600,PAWN7,Stage,35.2402778,-80.9744444,548238.2715,1410499.212,2018-09-16T18:50:00Z,8.92,8.92,8.92,8.17,8.17,8.17,8.17,6.89,6.89,6.89,6.89,6.25,6.25,6.25,6.25,3.27,3.27
6509,Mallard Creek @ Harrisburg, 0212414900,MCLN7,Stage,35.3327778,-80.7158333,580463.3196,1488285.128,2018-09-16T18:55:00Z,14.35,14.35,14.35,14.17,14.17,14.17,14.17,13.86,13.86,13.86,13.86,13.36,13.36,13.36,13.36,7.05,5.85
6510,Little Sugar @ Medical Center, 02146409,LSMN7,Stage,35.2036111,-80.8369444,534107.8149,1451300.172,2018-09-16T19:25:00Z,6.88,6.54,6.23,5.9,5.6,5.35,5.17,4.99,4.83,4.67,4.5,4.37,4.23,4.1,4.03,2.78,2.57
6511,Little Hope @ Seneca Place, 02146470,LHCN7,Stage,35.1644444,-80.8530556,519945.3143,1446222.204,2018-09-16T18:55:00Z,4.54,4.54,4.54,4.21,4.21,4.21,4.21,3.93,3.93,3.93,3.93,3.75,3.75,3.75,3.75,3.43,3.34
6512,SixMile Creek nr Pineville, 0214685800,,Stage,35.0102778,-80.8283333,463710.7512,1452576.209,2018-09-16T19:25:00Z,10.51,10.51,10.44,10.27,10.27,10.15,9.95,9.85,9.72,9.65,9.47,9.47,9.27,9.27,9.2,7.98,7.47
6513,McMullen Creek @ Sharon View, 02146700,MCMN7,Stage,35.1408333,-80.82,511170.9582,1455942.078,2018-09-16T19:25:00Z,3.27,3.23,3.09,2.79,2.67,2.55,2.43,2.34,2.24,2.16,2.08,2,1.94,1.88,1.85,1.25,1.15
6514,Little Sugar @ NC51 Pineville, 02146530,PINN7,Stage,35.0852778,-80.8822222,491302.6196,1436960.668,2018-09-16T18:55:00Z,17.3,17.3,17.3,16.7,16.7,16.7,16.7,15.94,15.94,15.94,15.94,14.91,14.91,14.91,14.91,4.96,4.06
6515,Fourmile Creek @ Elm Lane, 02146670,FMCN7,Stage,35.0769444,-80.8225,487936.9344,1454767.977,2018-09-16T19:25:00Z,14.49,14.33,14.17,14.01,13.83,13.67,13.48,13.34,13.15,12.97,12.81,12.62,12.44,12.25,12.11,9.33,8.16
6516,Briar @ Shamrock Dr, 0214642825,SMRN7,Stage,35.2361111,-80.7711111,545576.7637,1471173.635,2018-09-16T18:50:00Z,2.81,2.81,2.81,2.4,2.4,2.4,2.4,2.16,2.16,2.16,2.16,2.1,2.1,2.1,2.1,1.58,1.58
6517,McDowell Creek @ Beatties, 0214266000,,Stage,35.3897222,-80.9211111,602306.0079,1427473.19,2018-09-16T19:15:00Z,11.14,11.23,11.27,11.27,11.27,11.36,11.43,11.48,11.53,11.57,11.6,11.65,11.7,11.7,11.7,11.1,9.7
6518,Irwin Creek @ Statesville Ave, 02146211,IRSN7,Stage,35.2619444,-80.8369444,555334.3046,1451693.002,2018-09-16T18:55:00Z,5.35,5.35,5.35,4.57,4.57,4.57,4.57,4.12,4.12,4.12,4.12,3.79,3.79,3.79,3.79,2.93,2.73
6519,Steele Creek @ Carowinds Blvd, 0214678175,STSN7,Stage,35.105,-80.9536111,498891.4729,1415749.671,2018-09-16T18:55:00Z,5.72,5.72,5.72,4.55,4.55,4.55,4.55,3.45,3.45,3.45,3.45,2.82,2.82,2.82,2.82,1.76,1.6
6520,Taggart Creek @ West Blvd, 02146315,WSTN7,Stage,35.2066667,-80.9219444,535700.3648,1425935.093,2018-09-16T18:50:00Z,4.57,4.57,4.57,3.89,3.89,3.89,3.89,3.34,3.34,3.34,3.34,3.13,3.13,3.13,3.13,2.46,2.46
6521,Long Creek @ Rhyne NC, 0214291555,LRYN7,Stage,35.3005556,-80.9727778,570161.9996,1411432.675,2018-09-16T18:55:00Z,10.52,10.52,10.52,10.48,10.48,10.48,10.48,10.29,10.29,10.29,10.29,10.2,10.2,10.2,10.2,7.2,4.17
6522,Coffey Creek @ NC49, 02146348,COFN7,Stage,35.1458333,-80.9269444,513593.6528,1424012.1,2018-09-16T18:55:00Z,10.41,10.41,10.41,10.13,10.13,10.13,10.13,9.89,9.89,9.89,9.89,9.55,9.55,9.55,9.55,5.76,4.87
6523,Irvins @ Sam Newell Road, 0214657975,ISNN7,Stage,35.1586111,-80.7133333,517072.594,1487936.665,2018-09-16T18:55:00Z,6.8,6.8,6.8,4.84,4.84,4.84,4.84,4.02,4.02,4.02,4.02,3.56,3.56,3.56,3.56,2.31,2.07
6524,McAlpine Creek @ Idlewild, 0214655255,,Stage,35.1758333,-80.7191666,523369.6703,1486301.985,2018-09-16T19:25:00Z,4.52,4.52,4.52,4.52,4.13,4.13,4.13,4.13,3.82,3.82,3.82,3.82,3.71,3.71,3.71,2.64,2.38
6525,Campbell Creek @ Idlewild, 02146562,CAMN7,Stage,35.1866667,-80.7366667,527402.8194,1481142.346,2018-09-16T18:45:00Z,3.89,3.89,3.89,3.47,3.47,3.47,3.47,2.72,2.72,2.72,2.72,2.54,2.54,2.54,2.54,1.88,1.88
6526,Stewart Creek @ State St, 0214627970,STEN7,Stage,35.2402778,-80.8683333,547625.0769,1442176.468,2018-09-16T18:55:00Z,4.36,4.36,4.36,3.7,3.7,3.7,3.7,3.23,3.23,3.23,3.23,2.97,2.97,2.97,2.97,2.22,2.06
6527,Stewart Creek @ Morehead, 02146285,SMON7,Stage,35.2283333,-80.8691667,543283.3874,1441845.823,2018-09-16T19:25:00Z,6.43,5.91,5.44,5.03,4.66,4.41,4.2,4.01,3.84,3.7,3.57,3.46,3.37,3.29,3.24,2.5,2.37
6528,Goose Creek at 1524 nr Indian Trail, 0212467451,,Stage,35.1304238,-80.6311791,506401.8637,1512319.238,2018-09-16T19:20:00Z,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999
6529,Goose Creek @ SR1525, 0212467595,,Stage,35.125,-80.6027778,504289.8735,1520777.888,2018-09-16T19:20:00Z,6.97,5.82,5.22,4.85,4.54,4.3,4.1,3.95,3.95,3.59,3.48,3.4,3.4,3.24,3.24,2.48,2.3
6530,Clear Creek @ SR3181, 0212466000,,Stage,35.2083333,-80.58,534505.3104,1528070.443,2018-09-16T19:25:00Z,9.65,9.53,9.42,9.3,9.19,8.94,8.82,8.08,6.61,5.76,5.24,5,5,5,4.34,2.86,2.51
6531,Gar Creek @ SR2074, 0214266080,,Stage,35.3613889,-80.8975,591860.5192,1434311.777,2018-09-16T19:05:00Z,3.61,3.61,3.61,3.07,3.07,3.07,3.07,2.74,2.74,2.74,2.74,2.53,2.53,2.53,2.53,1.82,1.68
6532,Beaverdam Creek Shopton, 0214297160,,Stage,35.1697222,-80.9877778,522644.6035,1406004.705,2018-09-16T19:25:00Z,3.4,3.3,3.17,3.01,2.9,2.7,2.63,2.63,2.63,2.37,2.37,2.37,2.37,2.07,2.07,1.24,1.01
6533,ClarkeCreek nr Harrisburg, 02124080,,Stage,35.4141666,-80.7519444,610268.6294,1478039.527,2018-09-16T19:30:00Z,8.61,8.67,8.77,8.84,9.03,9.16,9.3,9.43,9.55,9.65,9.74,9.8,9.86,9.91,9.94,8.88,7.99
6534,Briar Creek bl Edwards B, 0214643860,BRIN7,Stage,35.2067222,-80.8049722,535064.7093,1460869.871,2018-09-16T18:50:00Z,8.28,8.28,8.28,6.71,6.71,6.71,6.71,5.53,5.53,5.53,5.53,4.93,4.93,4.93,4.93,2.54,2.3
6535,Little Sugar @ 36 St, 0214640410,LSTN7,Stage,35.2502778,-80.8083333,550932.1907,1460154.795,2018-09-16T19:25:00Z,3.94,3.76,3.58,3.39,3.23,3.01,2.83,2.67,2.52,2.4,2.26,2.17,2.07,1.96,1.92,1.09,0.92
6536,W Br Rocky River bl Mth, 0212393300,,Stage,35.4677777,-80.7902777,629981.4974,1466971.904,2018-09-16T19:20:00Z,12.59,12.54,12.49,12.3,12.22,11.93,13.19,11.39,11.07,10.72,10.34,9.83,9.59,9.23,8.98,5.28,4.67
6537,Edwards Branch @ Sheffield, 0214643820,EBSN7,Stage,35.2033333,-80.7722222,533655.2872,1470628.956,2018-09-16T18:30:00Z,1.7,1.7,1.7,1.55,1.55,1.55,1.55,1.4,1.4,1.4,1.4,1.32,1.32,1.32,1.32,1.03,1.03
6538,Gum Branch nr Thrift NC, 02142914,GBRN7,Stage,35.29935,-80.9464167,569568.0573,1419287.746,2018-09-16T19:25:00Z,3.66,3.43,3.68,3.46,3.68,3.52,3.63,3.59,3.69,3.66,3.57,3.69,3.57,3.68,3.67,2.13,1.98
6539,Briar Creek @ Providence, 02146449,BRPN7,Stage,35.1827222,-80.82,526413.4985,1456221.563,2018-09-16T18:55:00Z,11.25,11.25,11.25,9.93,9.93,9.93,9.93,8.03,8.03,8.03,8.03,6.8,6.8,6.8,6.8,2.52,2.52
6540,McMullen Creek @ Lincrest, 0214668150,MLIN7,Stage,35.1702778,-80.7857778,521699.4916,1466363.868,2018-09-16T18:55:00Z,3.24,3.24,3.24,2.94,2.94,2.94,2.94,2.55,2.55,2.55,2.55,2.32,2.32,2.32,2.32,1.74,1.64
6541,Briar Creek @ Independence, 0214643770,IBRN7,Stage,35.21083333,-80.80008333,536534.1683,1462357.105,2018-09-16T19:25:00Z,6.36,5.98,5.64,5.34,5.06,4.82,4.58,4.35,4.14,3.98,3.84,3.72,3.63,3.52,3.46,2.02,1.73
6542,Little Sugar @ Hillside, 02146420,LSHN7,Stage,35.17916667,-80.84638889,525265.3145,1448313.944,2018-09-16T19:25:00Z,6.24,5.9,5.48,5.11,4.7,4.35,4.02,3.78,3.58,3.41,3.27,3.15,3.03,2.91,2.84,1.84,1.65
6543,Trib to Briar Creek, 0214645080,BRUN7,Stage,35.16694444,-80.8366667,520764.0059,1451136.229,2018-09-16T19:25:00Z,3.73,3.4,3.03,2.64,2.23,1.96,1.89,1.85,1.82,1.8,1.78,1.76,1.73,1.71,1.7,1.44,1.4
6544,Reedy Creek bl I-485, 0212430293,,Stage,35.25861111,-80.6627778,553204.9456,1503654.314,2018-09-16T18:35:00Z,10.4,9.06,9.06,9.06,9.06,7.2,7.2,7.2,7.2,6.03,6.03,6.03,6.03,5.46,5.46,3.68,3.3
6545,Tr Briar Creek @ Colony, 0214645075,TBCN7,Stage,35.1688888,-80.8308333,521439.3175,1452892.316,2018-09-16T19:25:00Z,1.94,1.9,1.86,1.82,1.77,1.73,1.69,1.66,1.63,1.6,1.57,1.55,1.53,1.51,1.5,1.23,1.15
6546,McAlpine Creek @ SR2964, 0214676115,,Stage,35.04083333,-80.89166667,475184.2742,1433827.626,2018-09-16T19:15:00Z,22.73,22.73,22.73,22.73,23.4,23.4,23.4,23.4,23.86,23.86,23.86,23.86,24.14,24.14,24.14,23.03,21.39
6547,Torrence Creek @ Bradford, 0214265808,,Stage,35.40361111,-80.8827778,607141.1773,1438991.71,2018-09-16T18:40:00Z,8.38,8.38,8.35,8.35,8.35,8.35,7.95,7.95,7.95,7.95,7.05,7.05,7.05,7.05,6,2.52,2.31
6548,McDowell Creek nr Huntersville, 02142654,,Stage,35.4072222,-80.8905556,608499.2658,1436699.479,2018-09-16T19:25:00Z,8.63,8.81,8.91,9.02,9.11,9.13,9.15,9.21,9.18,9.12,9.07,8.99,8.86,8.82,8.73,3.3,2.53
6549,Sugar Creek @ Arrowood, 02146330,AWRN7,stage,35.13962,-80.91098,511240,1428739,2018-09-16T18:55:00Z,15.49,15.49,15.49,15.25,15.25,15.25,15.25,14.91,14.91,14.91,14.91,14.38,14.38,14.38,14.38,5,3.46
6550,McKee Creek @ SR2804, 0212430653,,Stage,35.25388889,-80.64805556,551413.2622,1508020.024,2018-09-16T18:35:00Z,7.58,5.9,5.9,5.9,5.9,4.14,4.14,4.14,4.14,3.58,3.58,3.58,3.58,3.27,3.27,2.52,2.36
6551,McAlpine Creek @ Colony Rd, 02146614,MCCN7,Stage,35.11814,-80.8069,502841.101,1459708.685,2018-09-16T18:55:00Z,19.74,19.74,19.74,19.44,19.44,19.44,19.44,19.04,19.04,19.04,19.04,18.54,18.54,18.54,18.54,11.97,5.37
6552,Back Creek @ SR1173, 02124269,,Stage,35.30916667,-80.6736111,571656.2841,1500731.022,2018-09-16T19:15:00Z,8.83,8.79,8.59,8.36,8.06,8.06,8.06,8.06,6.15,6.15,6.15,6.15,5.1,5.1,5.1,3.68,3.33
6553,Reedy Creek @ SR2803, 0212427947,,Stage,35.256388,-80.700555,552587.0005,1492364.901,2018-09-16T19:20:00Z,2.97,2.97,2.97,2.97,2.55,2.55,2.55,2.55,2.32,2.32,2.32,2.32,2.17,2.17,2.17,1.71,1.62
